release_group,job17805_k015,joe_regionmean_k015,joe_regionmean_k020
1,4,4,4
2,4,4,4
3,4,4,4
4,4,4,4
5,4,4,4
6,3,3,2
7,3,3,2
8,3,3,2
9,3,3,2
10,3,3,2
11,3,3,2
12,3,3,2
13,3,3,2
14,3,3,2
15,1,1,1
16,2,4,2
17,2,4,2
18,2,4,2
19,4,4,4
20,4,4,4
21,4,4,4
22,4,4,4
23,4,4,1
24,3,3,3
25,1,1,1
26,3,3,2
27,2,2,1
28,4,4,2
29,2,2,2
30,1,1,1
31,4,4,2
32,2,2,2
33,1,1,1
34,2,2,2
35,2,2,1
36,4,4,2
37,2,2,2
38,1,1,1
39,2,2,1
40,1,1,1
41,4,4,2
42,4,4,3
43,3,3,0
44,3,3,2
45,3,3,2
46,0,0,0
47,3,3,2
48,1,1,1
49,1,1,1
50,2,2,2
51,1,1,1
52,1,1,1
53,2,2,1
54,1,1,1
55,1,1,1
56,3,3,2
57,3,3,1
58,4,4,2
59,2,2,1
60,2,2,1
61,1,1,1
62,2,4,2
63,2,4,2
64,2,4,2
65,2,4,2
66,2,4,2
67,2,4,2
68,2,4,2
69,2,4,2
70,2,4,2
71,2,4,2
72,2,4,2
73,2,4,2
74,2,4,2
75,2,4,2
76,2,4,2
77,2,4,2
78,2,4,2
79,2,4,2
80,2,4,2
81,2,4,2
82,2,4,2
83,2,4,2
84,2,4,2
85,2,4,2
86,2,4,2
87,2,4,2
88,2,4,2
89,2,4,2
90,2,4,2
91,2,4,2
92,2,4,2
93,2,4,2
94,2,4,2
95,2,4,2
96,3,3,2
97,3,3,2
98,3,3,2
