fishery,fishery_name,selectivity_group,n_nodes,role
1,LL.WEST.1,1,4,independent extraction
2,LL.EAST.1,2,4,shared Region 1 longline extraction
3,LL.US.1,2,4,shared Region 1 longline extraction
4,LL.ALL.2,3,5,independent extraction
5,LL.OS.2,4,4,independent extraction
6,LL.ARCH.3,5,5,independent extraction
7,LL.WEST.3,6,5,shared Region 3-West longline extraction
8,LL.EAST.3,7,5,independent extraction
9,LL.OS.3,6,5,shared Region 3-West longline extraction
10,LL.ALL.5,8,5,independent extraction
11,LL.AU.5,9,5,independent extraction
12,PS.JP.1,10,5,independent extraction
13,PL.JP.1,11,5,independent extraction
14,HL.ID.2,12,5,independent extraction
15,HL.PH.2,13,5,independent extraction
16,PL.ALL.2,14,5,independent extraction
17,PS.ID.2,15,5,independent extraction
18,PS.PH.2,16,5,independent extraction
19,PS.ASS.2,17,5,independent extraction
20,PS.UNA.2,18,5,independent extraction
21,DOM.ID.2,19,5,independent extraction
22,DOM.PH.2,20,5,independent extraction
23,DOM.VN.2,21,5,independent extraction
24,PL.ALL.WEST.3,22,5,independent extraction
25,PS.ASS.WEST.3,23,7,independent extraction
26,PS.ASS.EAST.3,24,7,independent extraction
27,PS.UNA.WEST.3,25,5,independent extraction
28,PS.UNA.EAST.3,26,5,independent extraction
29,Index R1,27,4,independent index
30,Index R2,28,5,independent index
31,Index R3,29,5,independent index
32,Index R4,30,5,independent index
33,Index R5,31,4,independent index
