fishery,fish_flag_43,fish_flag_44,stratum
1,1,2,JPTP-dominant recapture fisheries
2,1,1,Remaining active recapture fisheries
3,1,1,Remaining active recapture fisheries
4,1,1,Remaining active recapture fisheries
5,1,1,Remaining active recapture fisheries
6,1,1,Remaining active recapture fisheries
7,1,1,Remaining active recapture fisheries
8,1,1,Remaining active recapture fisheries
9,1,1,Remaining active recapture fisheries
10,1,1,Remaining active recapture fisheries
11,1,1,Remaining active recapture fisheries
12,1,2,JPTP-dominant recapture fisheries
13,1,2,JPTP-dominant recapture fisheries
14,1,1,Remaining active recapture fisheries
15,1,1,Remaining active recapture fisheries
16,1,1,Remaining active recapture fisheries
17,1,1,Remaining active recapture fisheries
18,1,1,Remaining active recapture fisheries
19,1,1,Remaining active recapture fisheries
20,1,1,Remaining active recapture fisheries
21,1,1,Remaining active recapture fisheries
22,1,1,Remaining active recapture fisheries
23,1,1,Remaining active recapture fisheries
24,1,1,Remaining active recapture fisheries
25,1,3,PTTP Region 4-dominant recapture fisheries
26,1,3,PTTP Region 4-dominant recapture fisheries
27,1,3,PTTP Region 4-dominant recapture fisheries
28,1,3,PTTP Region 4-dominant recapture fisheries
29,0,0,Inactive index fishery
30,0,0,Inactive index fishery
31,0,0,Inactive index fishery
32,0,0,Inactive index fishery
33,0,0,Inactive index fishery
