step_id,pdh,total_eigenvalues,nonpositive_eigenvalues,smallest_eigenvalue,source
01-Diag2023,Yes,3067,0,9.61816e-08,Validated native Hessian analysis
02-NewExeIni1007,Yes,3067,0,1.09636e-07,Validated native Hessian analysis
03-FixM,Yes,3066,0,1.46048e-07,Validated native Hessian analysis
04-LengthWeight,Yes,3066,0,1.45768e-07,Validated native Hessian analysis
05-NewStructure,Yes,1874,0,9.83675e-08,Validated native Hessian analysis
06-ConvertToLength,No,1874,1,-3.48544e-06,Validated native Hessian analysis
07-AddLengthData,No,1874,1,-6.05000e-09,Validated native Hessian analysis
08-DataTo2024,Yes,1945,0,3.67000e-08,Validated native Hessian analysis
09-SizeDataQC,No,1945,1,-1.55000e-05,Validated native Hessian analysis
10-RegionalCPUE,Yes,1945,0,4.15000e-08,Validated native Hessian analysis
11-TimeVaryingCV,No,1945,1,-6.9803e-03,Validated native Hessian analysis
12-CPUEErrorCalibration,No,1945,2,-1.11962e+01,Validated native Hessian analysis
13-NewAgeData,No,1945,2,-4.18973e-02,Validated native Hessian analysis
14a-REG075,Yes,1945,0,8.90668e-08,Validated native Hessian analysis
14b-SUB075,No,1945,2,-7.12543e-03,Validated native Hessian analysis
15-SelectivityUpdate,No,1989,1,-2.59487e-06,Validated native Hessian analysis
16-MIX020,No,1989,2,-7.35562e-01,Validated native Hessian analysis
17-TagReportingExclusion,Yes,1989,0,3.43978e-07,Validated native Hessian analysis
18-EffortCreep,Yes,1989,0,1.47613e-07,Validated native Hessian analysis
19-DMG8Nmax25,Yes,1997,0,3.1366e-07,Validated native Hessian analysis
20-Tau2Fixed,Yes,1997,0,3.38335e-07,Validated native Hessian analysis
21-F33WeakPenalty,Yes,1997,0,2.40467e-07,Validated native Hessian analysis
22-Diagnostic,Yes,1997,0,2.55194e-07,Validated native Hessian analysis
