step_id,model_job_number,payload_job_number,kflow_task,archive_folder,payload_member
01-Diag2023,19182,19182,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/01-Diag2023/model_payload.rds
02-NewExeIni1007,19181,19181,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/02-NewExeIni1007/model_payload.rds
03-FixM,19188,19188,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/03-FixM/model_payload.rds
04-LengthWeight,19186,19186,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/04-LengthWeight/model_payload.rds
05-NewStructure,19183,19183,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/05-NewStructure/model_payload.rds
06-ConvertToLength,19187,19187,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/06-ConvertToLength/model_payload.rds
07-AddLengthData,19189,19189,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/07-AddLengthData/model_payload.rds
08-DataTo2024,19190,19190,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/08-DataTo2024/model_payload.rds
09-SizeDataQC,19185,19185,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/09-SizeDataQC/model_payload.rds
10-RegionalCPUE,19184,19184,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/10-RegionalCPUE/model_payload.rds
11-TimeVaryingCV,19191,19191,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/11-TimeVaryingCV/model_payload.rds
12-CPUEErrorCalibration,19192,19192,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/12-CPUEErrorCalibration/model_payload.rds
13-NewAgeData,19195,19195,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/13-NewAgeData/model_payload.rds
14a-REG075,19194,19194,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/14a-REG075/model_payload.rds
14b-SUB075,19193,19193,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-v25,outputs/models/14b-SUB075/model_payload.rds
15-SelectivityUpdate,20218,20218,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-02aug,outputs/models/15-SelectivityUpdate/model_payload.rds
16-MIX020,20217,20217,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-02aug,outputs/models/16-MIX020/model_payload.rds
17-TagReportingExclusion,20219,20219,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-02aug,outputs/models/17-TagReportingExclusion/model_payload.rds
18-EffortCreep,20220,20220,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-02aug,outputs/models/18-EffortCreep/model_payload.rds
19-DMG8Nmax25,20221,20221,bet-2026-final-stepwise-02aug,bet-2026-final-stepwise-02aug,outputs/models/19-DMG8Nmax25/model_payload.rds
20-Tau2Fixed,22198,22198,bet-2026-final-stepwise-diagnostic-04aug,bet-2026-final-stepwise-diagnostic-04aug,outputs/models/20-Tau2Fixed/model_payload.rds
21-F33WeakPenalty,22199,22199,bet-2026-final-stepwise-diagnostic-04aug,bet-2026-final-stepwise-diagnostic-04aug,outputs/models/21-F33WeakPenalty/model_payload.rds
22-Diagnostic,21641,21747,ofp-sam-bet-2026-tau2-steepness-selectivity-grid,ofp-sam-bet-2026-tau2-compact-model-payloads,outputs/models/S0.90-F2-tau2-fixed/model_payload.rds
