"year","depletion","spawning_potential","spawning_potential_nofish","recruitment","fishing_mortality","relative_fishing_mortality","scenario","model_token","model_key","region","source_file","change_token"
1952,0.996802580255568,2661.740125,2670.278125,157.539982,0.00666353881873551,0.0487675,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1953,0.986558710806673,2693.903875,2730.60675,240.68780129,0.00672613535073556,0.04641,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1954,0.979752733638394,2717.35905,2773.51515,195.0314255,0.00498911000069747,0.03115,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1955,0.974175454544721,2715.5416,2787.52825,127.45244014,0.00607654960963305,0.04689,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1956,0.968311414186061,2813.642375,2905.72055,123.89086012,0.00829056183848895,0.0507125,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1957,0.963398567145973,3004.19015,3118.325325,95.3331432,0.0107659930762164,0.06618,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1958,0.95276730287844,3011.573275,3160.869675,198.59897543,0.0115143101943191,0.0951425,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1959,0.938957271058333,2833.084225,3017.2664,57.1272703,0.0100970879791575,0.087365,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1960,0.928607059638063,2645.311625,2848.687825,107.41797273,0.0112318730799432,0.090685,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1961,0.923132883116724,2566.219525,2779.902625,82.94599577,0.0109495152555566,0.09152,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
