"Model","Total objective","Tag","Length frequency","Weight frequency","Age","CPUE","Catch","Penalty"
"01-Diag2023",-1027494.36725088,6216.37480741863,-74453.4487570652,-962270.159816667,1575.76139178576,1041.55,0,0.436045
"02-NewExeIni1007",-1030982.15479525,6230.3983425449,-74420.7955421129,-962358.27034563,1581.22067263812,-2407.81069803,0,275.68063964581
"03-FixM",-1030911.30059532,6214.92046662491,-74441.3879632311,-962275.019860257,1588.24112928354,-2396.34727454,0,278.017599321647
"04-LengthWeight",-1030847.08271696,6195.27361129819,-74452.0926579134,-962179.75534872,1578.989299908,-2392.86068402,0,277.555423154713
"05-NewStructure",-864747.741292549,5720.06764922779,-72258.4583570532,-799889.080981892,2737.3946495263,-1367.30455202,0,223.607254474427
"06-ConvertToLength",-354502.440925825,5522.71695634574,-361507.934253556,0,2574.42732444305,-1394.35246599,0,219.07707960768
"07-AddLengthData",-365237.934801992,5522.68424131177,-372386.65515538,0,2718.32228957326,-1392.63169799,0,221.648491965581
"08-DataTo2024",-380853.084691815,6230.09935912966,-388697.397535334,0,2735.79712771173,-1434.34890237,0,226.831390303573
"09-SizeDataQC",-364674.683268537,6215.7409959203,-372488.230954783,0,2727.84314263368,-1435.20351261,0,217.649796674227
"10-RegionalCPUE",-364329.173742033,6203.37959952172,-372400.496876493,0,2757.2187506847,-1247.574383788,0,262.548710193958
"11-TimeVaryingCV",-364340.168956281,6160.54553860791,-372327.24380798,0,2735.81234707863,-1194.923265046,0,194.783611830033
"12-CPUEErrorCalibration",-364375.246633978,6211.2607298071,-372430.071443701,0,2740.21048824019,-1253.098381758,0,259.564336860952
"13-NewAgeData",-363391.754962446,6191.67051234342,-372354.137934139,0,3673.36962005193,-1254.68150582,0,249.333521701601
"14a-REG075",-364163.947390523,6133.10220073303,-372365.54951545,0,2986.13019520642,-1276.684352849,0,255.923455942938
"14b-SUB075",-363503.69150351,6203.87907549654,-372394.878907322,0,3586.28208463138,-1252.393181854,0,257.258831379433
"15-SelectivityUpdate",-364044.23527509,6135.93724194835,-372683.436531501,0,3493.16038266121,-1254.029668784,0,173.605458453543
"16-MIX020",-363521.108770565,6687.59307651273,-372713.937346495,0,3503.86274551102,-1282.062899964,0,191.55913082128
"17-TagReportingExclusion",-363294.716631328,6841.80317189574,-372756.691398731,0,3583.69969595784,-1288.027721396,0,233.800467910482
"18-EffortCreep",-363297.327893594,6811.09736993796,-372746.236064025,0,3614.8217027527,-1296.531867003,0,233.92751365598
"19-DMG8Nmax25",90697.8324862959,7071.09600372626,80706.9726213746,0,3610.27957764451,-1047.839589813,0,276.908344503547
"20-Tau2Fixed",90814.791683121,7380.12131770116,80584.4039806787,0,3633.38822871321,-1070.5273414202,0,210.291116370849
"21-F33WeakPenalty",90814.9146887113,7379.63143547836,80583.5837744157,0,3633.58501154231,-1069.5200518922,0,210.405303015107
"22-Diagnostic",90814.8573966593,7379.61959265742,80583.5892457961,0,3633.59336302858,-1069.5177891622,0,210.347674924732
