"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","input-repos/ofp-sam-bet-2026-exploration/reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length","","bdb5b35","input-repos/ofp-sam-bet-2026-exploration/reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","unverified","unlocked","exact source variant retained"
"doitall","doitall.sh","steps/04-NewStructure/model/doitall.sh","","7d29c47","steps/04-NewStructure/model/doitall.sh","b68ed9f506cf7c654fdfc418ca704ed81185e1d2abefb33ed4b7df91841a77c2","58ba68d6d7091ff147f24a4a5582ab83d07557e2b446163aa7a9ab7b35b35858","unverified","unlocked","generated from the five-region template with only declared cumulative controls"
"fitted_source","JOB13328","","","","","","","not-public","unresolved","Job13328 fitted-model source metadata is inaccessible without Kflow credentials; do not represent it as public until repository commit path and SHA256 are supplied"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","unverified","unlocked","copied without year chopping"
"hessian_merge","JOB13432","","","","","","","not-public","unresolved","Job13432 Hessian-merge metadata is inaccessible without Kflow credentials; it is not the Job13328 fitted-model source"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","","d48e396","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","ce938c5c8ca5f9da3e676feca3058d8b0594976ece150b4352945e63355a3f24","a0f3973fab2ee37be0d5831803d600106e7b9c3f385261fdb24d5539f537acab","unverified","unlocked","Fixed Lorenzen natural-mortality intercept applied from the 01-Diag2023 mgc=-5 diagnostic final par; normalized MFCL 1007 tag-control rows for 98 release groups; RRPTTP26 rebuilt the complete RTTP/PTTP/JPTP group, active, initial, target, and penalty matrices from the audited 33-fishery table; set only tag_flags(:,2) to 0"
"ini_reporting_rates","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","","d48e396","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","2244656d1ab38cc42b1a58204f36326bed4c07925af661162a4f314eec60a223","a0f3973fab2ee37be0d5831803d600106e7b9c3f385261fdb24d5539f537acab","unverified","unlocked","rrpttp26 reporting-rate matrices only"
"reg_scaling","bet.reg_scaling","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","unverified","unlocked","active periods 53-72"
"reg_scaling_full","bet.reg_scaling.full","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","unverified","unlocked","complete source matrix retained as a calculation/audit artifact"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv","","7d29c47","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","a0f3973fab2ee37be0d5831803d600106e7b9c3f385261fdb24d5539f537acab","unverified","unlocked","complete audited 33-fishery RRPTTP26 matrix specification"
"tag","bet.tag","inputs/bet.2026.low.recaps.removed.tag","","7d29c47","inputs/bet.2026.low.recaps.removed.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","unverified","unlocked","exact selected tag input; never replaced by an earlier step"
