"region","region_label","lon","lat","vertex"
1,"Region 1",120,20,1
1,"Region 1",120,50,2
1,"Region 1",210,50,3
1,"Region 1",210,10,4
1,"Region 1",185,10,5
1,"Region 1",140,10,6
1,"Region 1",140,20,7
1,"Region 1",120,20,8
2,"Region 2",110,-10,1
2,"Region 2",110,20,2
2,"Region 2",140,20,3
2,"Region 2",140,-10,4
2,"Region 2",110,-10,5
3,"Region 3",140,-10,1
3,"Region 3",140,10,2
3,"Region 3",185,10,3
3,"Region 3",185,-10,4
3,"Region 3",140,-10,5
4,"Region 4",185,-10,1
4,"Region 4",185,10,2
4,"Region 4",210,10,3
4,"Region 4",210,-10,4
4,"Region 4",185,-10,5
5,"Region 5",140,-40,1
5,"Region 5",140,-10,2
5,"Region 5",210,-10,3
5,"Region 5",210,-40,4
5,"Region 5",140,-40,5
