"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","input-repos/ofp-sam-bet-2026-exploration/reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length",,"bdb5b35","input-repos/ofp-sam-bet-2026-exploration/reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","unverified","unlocked","exact source variant retained"
"cpue_mle_sigma","cpue_mle_sigma_audit.csv","config/job13328-cpue-sigma.csv",,"7d29c47","config/job13328-cpue-sigma.csv","0d615db579682c5688e439d0b34a702634584f13bb38c78d238e366755049233","c41b2e86fcc658dbe46b706782bd8bdb78abcd1d55daf9ad1d432dde6e42a310","unverified","unlocked","Job13328 submitted S011 CPUE MLE sigma; PacificCommunity/ofp-sam-bet-2026-exploration@c940601bb95797a5cc5b4a2dbc01cfd6daa86a70/sensitivity/S011-DM-G8PSSET-CEST-NOCUT-SUB075-MIX015-TAGF2ON-NMAX25-REGW100-RRPTTP26/model/doitall.sh; SHA256 a47ef47502d94229bc68ea963256e6243e2579fce4320a21a2eb55fc738ed471"
"doitall","doitall.sh","steps/17d-AllSelectivityFormRelaxed/model/doitall.sh","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","4adbb3941811ec8b7e90a53cec1f435a77a11203","steps/17d-AllSelectivityFormRelaxed/model/doitall.sh","ed160a350d6a042105d0c956e231b2794adc2f47cfcba7e4d5b18dffb5acee69","f079a478747acbdaa7cef8904dbafc584736dc09f3545eb2e81a74d2fed3d093","public","locked","Job 14363 control sequence retained; only parest flag 121 changes from 0 to 1 in Phases 1 and 10 to estimate one Lorenzen natural-mortality log-intercept"
"scientific_parent","JOB14363","PacificCommunity/ofp-sam-bet-2026-stepwise","PacificCommunity/ofp-sam-bet-2026-stepwise","4adbb3941811ec8b7e90a53cec1f435a77a11203","steps/17d-AllSelectivityFormRelaxed/model","","","public","locked","Completed Kflow Job 14363 is the scientific parent; the sensitivity reruns its frozen source inputs independently"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq",,"f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","unverified","unlocked","generated from the authoritative FRQ by changing only positive effort for F29-F33"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini",,"d48e396","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","ce938c5c8ca5f9da3e676feca3058d8b0594976ece150b4352945e63355a3f24","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","Job 14363 INI retained byte-for-byte, including the -2.549303 Lorenzen log-intercept starting value; estimation is activated only by parest flag 121 in doitall.sh"
"ini_reporting_rates","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini",,"d48e396","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","2244656d1ab38cc42b1a58204f36326bed4c07925af661162a4f314eec60a223","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","rrpttp26 reporting-rate matrices only"
"ini_tag_mixing","bet.ini","inputs/bet.2026.mix-0.15.ini",,"7d29c47","inputs/bet.2026.mix-0.15.ini","b8a43730e7808c0f2d0f07924a2e175910294ce63a1359c2585b44f9e5e2dad6","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","only tag_flags(:,1) copied; tag_flags(:,2) and all other INI fields retained"
"reg_scaling","bet.reg_scaling","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling",,"f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","unverified","unlocked","active periods 53-72"
"reg_scaling_full","bet.reg_scaling.full","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling",,"f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","unverified","unlocked","complete source matrix retained as a calculation/audit artifact"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv",,"7d29c47","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","complete audited 33-fishery RRPTTP26 matrix specification"
"tag","bet.tag","inputs/bet.2026.low.recaps.removed.tag",,"7d29c47","inputs/bet.2026.low.recaps.removed.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","unverified","unlocked","exact selected tag input; never replaced by an earlier step"
