"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"carried_audit","bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba/steps/19a-DMG8Nmax25/model/bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba","steps/19a-DMG8Nmax25/model/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","public","locked","Carried unchanged from Step 19a; not an MFCL fitting input."
"carried_audit","dom-lf-qc-audit.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba/steps/19a-DMG8Nmax25/model/dom-lf-qc-audit.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba","steps/19a-DMG8Nmax25/model/dom-lf-qc-audit.csv","62db7fc9f15842653473a67d443a677d62648a0dcbd097327abad702f186be6a","62db7fc9f15842653473a67d443a677d62648a0dcbd097327abad702f186be6a","public","locked","Carried unchanged from Step 19a; not an MFCL fitting input."
"carried_audit","dom-lf-qc-summary.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba/steps/19a-DMG8Nmax25/model/dom-lf-qc-summary.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba","steps/19a-DMG8Nmax25/model/dom-lf-qc-summary.csv","11abdff86bd4f6e75f7a067a8dab1cd87dfee10e70d59ae6c413c5a9563cb2de","11abdff86bd4f6e75f7a067a8dab1cd87dfee10e70d59ae6c413c5a9563cb2de","public","locked","Carried unchanged from Step 19a; not an MFCL fitting input."
"carried_audit","f15-lf-qc-audit.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba/steps/19a-DMG8Nmax25/model/f15-lf-qc-audit.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba","steps/19a-DMG8Nmax25/model/f15-lf-qc-audit.csv","2291e6a790e33f85e11b0e2c98fb8e55dc14025924afe3677e4f6f61eda463c0","2291e6a790e33f85e11b0e2c98fb8e55dc14025924afe3677e4f6f61eda463c0","public","locked","Carried unchanged from Step 19a; not an MFCL fitting input."
"carried_audit","f15-lf-qc-summary.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba/steps/19a-DMG8Nmax25/model/f15-lf-qc-summary.csv","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b3bc4c5cb30200c7c5e7faa77ad26d3ebcef2eba","steps/19a-DMG8Nmax25/model/f15-lf-qc-summary.csv","1612fed65e6ab65b6d79eaa84809c48cd73ecf0dea86026e2cba02d346b92bbb","1612fed65e6ab65b6d79eaa84809c48cd73ecf0dea86026e2cba02d346b92bbb","public","locked","Carried unchanged from Step 19a; not an MFCL fitting input."
"diagnostic_recipe","bet.age_length","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic/blob/770edf1e910b03b8a390c3cd1a1398d5ea25796e/model/bet.age_length","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic","770edf1e910b03b8a390c3cd1a1398d5ea25796e","model/bet.age_length","","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","public","locked","Exact file from the locked public Diagnostic recipe."
"diagnostic_recipe","bet.frq","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic/blob/770edf1e910b03b8a390c3cd1a1398d5ea25796e/model/bet.frq","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic","770edf1e910b03b8a390c3cd1a1398d5ea25796e","model/bet.frq","","d0d84f0a498e6a62681f2a58ffc1ba53dab9e3d6af856b4ad1fd907196250004","public","locked","Exact file from the locked public Diagnostic recipe."
"diagnostic_recipe","bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic/blob/770edf1e910b03b8a390c3cd1a1398d5ea25796e/model/bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic","770edf1e910b03b8a390c3cd1a1398d5ea25796e","model/bet.ini","","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","public","locked","Exact file from the locked public Diagnostic recipe."
"diagnostic_recipe","bet.reg_scaling","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic/blob/770edf1e910b03b8a390c3cd1a1398d5ea25796e/model/bet.reg_scaling","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic","770edf1e910b03b8a390c3cd1a1398d5ea25796e","model/bet.reg_scaling","","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","public","locked","Exact file from the locked public Diagnostic recipe."
"diagnostic_recipe","bet.tag","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic/blob/770edf1e910b03b8a390c3cd1a1398d5ea25796e/model/bet.tag","https://github.com/PacificCommunity/ofp-sam-bet-2026-diagnostic","770edf1e910b03b8a390c3cd1a1398d5ea25796e","model/bet.tag","","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","public","locked","Exact file from the locked public Diagnostic recipe."
