"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"frq","bet.frq","steps/18-GroupedSelectivityRobustness/model/bet.frq","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.frq","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","3a6b9083d2fa54cd10eb6989c15a254b4032dadae5f0e4d996d122f1bd7d0bdd","public","locked","Terminal-2022 Job 15363 retrospective input with original release-group exclusion(s): none."
"ini","bet.ini","steps/18-GroupedSelectivityRobustness/model/bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.ini","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","7371e40afb76a09dd42e29901a291175db33bc008a6afae6359592e240a7c084","public","locked","MFCL-1007 tag sections synchronized for original release-group exclusion(s): none."
"tag","bet.tag","steps/18-GroupedSelectivityRobustness/model/bet.tag","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","8c7959240602273e48d5ee33e7def00292089aab6bcabb476f82629e1ac2c5d2","public","locked","Terminal-2022 tag input with original release-group exclusion(s): none; retained groups are contiguous."
"age_length","bet.age_length","steps/18-GroupedSelectivityRobustness/model/bet.age_length","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","1e856600397b6a3b0016ec478fe2ad2bc1dc6daa86f4dc253fd2fd326cca301f","public","locked","Terminal-2022 Job 15363 retrospective age-length input; identical among sensitivity cells."
"doitall","doitall.sh","steps/18-GroupedSelectivityRobustness/model/doitall.sh","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/doitall.sh","0d1c24adb2675c8c60d4ce7f6c48227b7eec5ecbc1ef3dad7b95c1939ab90a01","0d1c24adb2675c8c60d4ce7f6c48227b7eec5ecbc1ef3dad7b95c1939ab90a01","public","locked","Complete Job 15363 native-MFCL doitall controls; unchanged."
"cpue_mle_sigma","cpue_mle_sigma_audit.csv","config/job13328-cpue-sigma.csv","","7d29c47","config/job13328-cpue-sigma.csv","0d615db579682c5688e439d0b34a702634584f13bb38c78d238e366755049233","c41b2e86fcc658dbe46b706782bd8bdb78abcd1d55daf9ad1d432dde6e42a310","unverified","unlocked","Job13328 submitted S011 CPUE MLE sigma; PacificCommunity/ofp-sam-bet-2026-exploration@c940601bb95797a5cc5b4a2dbc01cfd6daa86a70/sensitivity/S011-DM-G8PSSET-CEST-NOCUT-SUB075-MIX015-TAGF2ON-NMAX25-REGW100-RRPTTP26/model/doitall.sh; SHA256 a47ef47502d94229bc68ea963256e6243e2579fce4320a21a2eb55fc738ed471"
"scientific_parent","JOB15498/peel_2","Job 15363 terminal-2022 retrospective peel","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model","","","public","locked","Job 15498 peel 2 identifies the terminal-2022 comparison point; all four cells are rerun under one common convergence setting."
"tag_sensitivity_builder","mfclkit","PacificCommunity/ofp-sam-mfclkit","https://github.com/PacificCommunity/ofp-sam-mfclkit","a0fe04baa9c119353123367e5a652bb73d909b84","R/retro.R","","","public","locked","Used to reproduce the terminal-2022 peel and synchronize TAG/INI/FRQ release-group handling."
"tag_sensitivity_audit","model/tag_group_sensitivity_audit.csv","R/build_terminal2022_tag_group_sensitivities.R","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","","R/build_terminal2022_tag_group_sensitivities.R","","ef7967bfbb899cc8c1821b0ea823cab3e5d65c19f58e21442fbee16f4e375134","public","generated","Original G59/G60 release metadata and inclusion status."
"tag_group_renumbering","model/tag_group_renumbering.csv","R/build_terminal2022_tag_group_sensitivities.R","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","","R/build_terminal2022_tag_group_sensitivities.R","","168c4098bb8e56a8cc5f94b723897fbc9652047253cec44f07af3847a10d1e98","public","generated","One-pass mapping from original to fitted release-group numbers."
"tag_reporting_rate_audit","model/tag_rep_map.R","R/build_terminal2022_tag_group_sensitivities.R","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","","R/build_terminal2022_tag_group_sensitivities.R","","e1bddfe316a8b3e39333d0792f58db8f070d3f6f370770507e2f500f9d88786c","public","generated","Regenerated from the synchronized bet.ini and bet.tag files."
