fishery,fishery_name,flag16,flag24,flag56,flag57,flag61
1,LL.WEST.1,0,1,0,3,5
2,LL.EAST.1,0,2,0,3,5
3,LL.US.1,0,3,0,3,5
4,LL.ALL.2,0,4,0,3,5
5,LL.OS.2,0,5,0,3,5
6,LL.ARCH.3,0,6,0,3,5
7,LL.WEST.3,0,7,0,3,5
8,LL.EAST.3,0,8,0,3,5
9,LL.OS.3,0,9,0,3,5
10,LL.ALL.5,1,10,10000,3,5
11,LL.AU.5,0,11,0,3,5
12,PS.JP.1,0,12,0,3,5
13,PL.JP.1,0,13,0,3,5
14,HL.ID.2,0,14,0,3,5
15,HL.PH.2,0,15,0,3,5
16,PL.ALL.2,0,16,0,3,5
17,PS.ID.2,0,17,0,3,5
18,PS.PH.2,0,18,0,3,5
19,PS.ASS.2,0,19,0,3,5
20,PS.UNA.2,0,20,0,3,5
21,DOM.ID.2,0,21,0,3,5
22,DOM.PH.2,0,22,0,3,5
23,DOM.VN.2,0,23,0,3,5
24,PL.ALL.WEST.3,0,24,0,3,5
25,PS.ASS.WEST.3,0,25,0,3,7
26,PS.ASS.EAST.3,0,26,0,3,7
27,PS.UNA.WEST.3,0,27,0,3,5
28,PS.UNA.EAST.3,0,28,0,3,5
29,Index_R1,0,29,0,3,5
30,Index_R2,0,30,0,3,5
31,Index_R3,0,31,0,3,5
32,Index_R4,0,32,0,3,5
33,Index_R5,1,33,10000,3,5
