release_group,job_15062_mixing_period,sc22_ip10_k015_mixing_period,changed
1,4,4,FALSE
2,4,4,FALSE
3,4,4,FALSE
4,4,4,FALSE
5,4,4,FALSE
6,2,3,TRUE
7,2,3,TRUE
8,2,3,TRUE
9,2,3,TRUE
10,2,3,TRUE
11,2,3,TRUE
12,2,3,TRUE
13,2,3,TRUE
14,2,3,TRUE
15,1,1,FALSE
16,2,2,FALSE
17,2,2,FALSE
18,2,2,FALSE
19,4,4,FALSE
20,4,4,FALSE
21,4,4,FALSE
22,4,4,FALSE
23,2,4,TRUE
24,2,3,TRUE
25,2,1,TRUE
26,2,3,TRUE
27,2,2,FALSE
28,2,4,TRUE
29,2,2,FALSE
30,2,1,TRUE
31,2,4,TRUE
32,2,2,FALSE
33,2,1,TRUE
34,2,2,FALSE
35,2,2,FALSE
36,2,4,TRUE
37,2,2,FALSE
38,2,1,TRUE
39,2,2,FALSE
40,2,1,TRUE
41,2,4,TRUE
42,2,4,TRUE
43,2,3,TRUE
44,2,3,TRUE
45,2,3,TRUE
46,2,0,TRUE
47,2,3,TRUE
48,2,1,TRUE
49,2,1,TRUE
50,2,2,FALSE
51,2,1,TRUE
52,2,1,TRUE
53,2,2,FALSE
54,2,1,TRUE
55,2,1,TRUE
56,2,3,TRUE
57,2,3,TRUE
58,2,4,TRUE
59,2,2,FALSE
60,2,2,FALSE
61,1,1,FALSE
62,2,2,FALSE
63,2,2,FALSE
64,2,2,FALSE
65,2,2,FALSE
66,2,2,FALSE
67,2,2,FALSE
68,2,2,FALSE
69,2,2,FALSE
70,2,2,FALSE
71,2,2,FALSE
72,2,2,FALSE
73,2,2,FALSE
74,2,2,FALSE
75,2,2,FALSE
76,2,2,FALSE
77,2,2,FALSE
78,2,2,FALSE
79,2,2,FALSE
80,2,2,FALSE
81,2,2,FALSE
82,2,2,FALSE
83,2,2,FALSE
84,2,2,FALSE
85,2,2,FALSE
86,2,2,FALSE
87,2,2,FALSE
88,2,2,FALSE
89,2,2,FALSE
90,2,2,FALSE
91,2,2,FALSE
92,2,2,FALSE
93,2,2,FALSE
94,2,2,FALSE
95,2,2,FALSE
96,2,3,TRUE
97,2,3,TRUE
98,2,3,TRUE
