"release_group","baseline_mixing_period","target_mixing_period","changed"
1,4,4,FALSE
2,4,4,FALSE
3,4,4,FALSE
4,4,4,FALSE
5,4,4,FALSE
6,3,2,TRUE
7,3,2,TRUE
8,3,2,TRUE
9,3,2,TRUE
10,3,2,TRUE
11,3,2,TRUE
12,3,2,TRUE
13,3,2,TRUE
14,3,2,TRUE
15,1,1,FALSE
16,2,2,FALSE
17,2,2,FALSE
18,2,2,FALSE
19,4,4,FALSE
20,4,4,FALSE
21,4,4,FALSE
22,4,4,FALSE
23,4,1,TRUE
24,3,3,FALSE
25,1,1,FALSE
26,3,2,TRUE
27,2,1,TRUE
28,4,2,TRUE
29,2,2,FALSE
30,1,1,FALSE
31,4,2,TRUE
32,2,2,FALSE
33,1,1,FALSE
34,2,2,FALSE
35,2,1,TRUE
36,4,2,TRUE
37,2,2,FALSE
38,1,1,FALSE
39,2,1,TRUE
40,1,1,FALSE
41,4,2,TRUE
42,4,3,TRUE
43,3,0,TRUE
44,3,2,TRUE
45,3,2,TRUE
46,0,0,FALSE
47,3,2,TRUE
48,1,1,FALSE
49,1,1,FALSE
50,2,2,FALSE
51,1,1,FALSE
52,1,1,FALSE
53,2,1,TRUE
54,1,1,FALSE
55,1,1,FALSE
56,3,2,TRUE
57,3,1,TRUE
58,4,2,TRUE
59,2,1,TRUE
60,2,1,TRUE
61,1,1,FALSE
62,2,2,FALSE
63,2,2,FALSE
64,2,2,FALSE
65,2,2,FALSE
66,2,2,FALSE
67,2,2,FALSE
68,2,2,FALSE
69,2,2,FALSE
70,2,2,FALSE
71,2,2,FALSE
72,2,2,FALSE
73,2,2,FALSE
74,2,2,FALSE
75,2,2,FALSE
76,2,2,FALSE
77,2,2,FALSE
78,2,2,FALSE
79,2,2,FALSE
80,2,2,FALSE
81,2,2,FALSE
82,2,2,FALSE
83,2,2,FALSE
84,2,2,FALSE
85,2,2,FALSE
86,2,2,FALSE
87,2,2,FALSE
88,2,2,FALSE
89,2,2,FALSE
90,2,2,FALSE
91,2,2,FALSE
92,2,2,FALSE
93,2,2,FALSE
94,2,2,FALSE
95,2,2,FALSE
96,3,2,TRUE
97,3,2,TRUE
98,3,2,TRUE
